# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.0073065128,99.0833333333,0.0010000000,0.9999861237,0.0000896317,0.0000007611,0.0008724076,0.0000000000
0.0070704486,99.1666666667,0.0010000000,0.9999865720,0.0000650902,0.0000007365,0.0008581987,0.0000000000
0.0070341778,99.1666666667,0.0010000000,0.9999866409,0.0000564376,0.0000007327,0.0008559947,0.0000000000
0.0191438392,98.3333333333,0.0010000000,0.9999636426,0.0003846733,0.0000019941,0.0014121437,0.0000000000
0.0500140202,97.6666666667,0.0010000000,0.9999050150,0.0007157573,0.0000052098,0.0022824973,0.0000000000
0.0798536966,97.6666666667,0.0010000000,0.9998483444,0.0009203823,0.0000083181,0.0028841105,0.0000000000
0.0214762080,98.1666666667,0.0010000000,0.9999592131,0.0004342623,0.0000022371,0.0014956955,0.0000000000
0.2009449172,97.5833333333,0.0010000000,0.9996183719,0.0014630921,0.0000209318,0.0045751243,0.0000000000
0.0327897991,98.2500000000,0.0010000000,0.9999377267,0.0005049182,0.0000034156,0.0018481353,0.0000000000
0.2020655777,97.5833333333,0.0010000000,0.9996162436,0.0014500738,0.0000210485,0.0045878642,0.0000000000
0.0277589684,98.0000000000,0.0010000000,0.9999472811,0.0005083428,0.0000028916,0.0017004585,0.0000000000
0.1091583819,97.5833333333,0.0010000000,0.9997926899,0.0010818914,0.0000113707,0.0033720416,0.0000000000
0.0194934425,98.3333333333,0.0010000000,0.9999629787,0.0003831009,0.0000020306,0.0014249796,0.0000000000
0.1971255041,97.5833333333,0.0010000000,0.9996256256,0.0013672346,0.0000205339,0.0045314354,0.0000000000
0.0298249570,97.9166666667,0.0010000000,0.9999433574,0.0005340815,0.0000031068,0.0017626022,0.0000000000
0.3881562531,96.4166666667,0.0010000000,0.9992628262,0.0019713224,0.0000404329,0.0063586904,0.0000000000
0.2073071475,97.5000000000,0.0010000000,0.9996062890,0.0013727182,0.0000215945,0.0046469877,0.0000000000
2.5453407138,92.0000000000,0.0010000000,0.9951659713,0.0044097387,0.0002651397,0.0162831096,0.0000000000
0.0136782093,98.8333333333,0.0010000000,0.9999740228,0.0001438910,0.0000014248,0.0011936555,0.0000000000
0.0129376536,99.0000000000,0.0010000000,0.9999754292,0.0001054646,0.0000013477,0.0011608929,0.0000000000
0.0127570136,99.0833333333,0.0010000000,0.9999757723,0.0000923018,0.0000013289,0.0011527600,0.0000000000
0.0126824224,99.0833333333,0.0010000000,0.9999759140,0.0000859454,0.0000013211,0.0011493849,0.0000000000
0.0084490345,98.8333333333,0.0010000000,0.9999839539,0.0001346721,0.0000008801,0.0009381406,0.0000000000
0.1431005254,97.5833333333,0.0010000000,0.9997282281,0.0012391519,0.0000149063,0.0038608684,0.0000000000
0.0088746162,98.7500000000,0.0010000000,0.9999831456,0.0001485614,0.0000009244,0.0009614776,0.0000000000
0.2516856481,97.2500000000,0.0010000000,0.9995220068,0.0014191253,0.0000262173,0.0051202788,0.0000000000
0.0955237070,97.7500000000,0.0010000000,0.9998185845,0.0009443151,0.0000099504,0.0031544233,0.0000000000
0.0552825800,97.7500000000,0.0010000000,0.9998950091,0.0007141058,0.0000057586,0.0023997087,0.0000000000
0.0217787653,98.5000000000,0.0010000000,0.9999586385,0.0003930157,0.0000022686,0.0015061943,0.0000000000
0.0362744627,98.2500000000,0.0010000000,0.9999311087,0.0005533794,0.0000037786,0.0019438595,0.0000000000
0.0188602613,98.5000000000,0.0010000000,0.9999641812,0.0003533092,0.0000019646,0.0014016457,0.0000000000
0.0069363357,99.1666666667,0.0010000000,0.9999868267,0.0000674042,0.0000007225,0.0008500206,0.0000000000
0.0068477608,99.2500000000,0.0010000000,0.9999869950,0.0000545555,0.0000007133,0.0008445759,0.0000000000
0.0398262729,97.6666666667,0.0010000000,0.9999243632,0.0006054068,0.0000041486,0.0020368039,0.0000000000
0.0138797791,98.3333333333,0.0010000000,0.9999736400,0.0003162382,0.0000014458,0.0012024185,0.0000000000
0.1508670955,97.5833333333,0.0010000000,0.9997134781,0.0012663691,0.0000157153,0.0039642556,0.0000000000
0.0978665535,97.7500000000,0.0010000000,0.9998141350,0.0009837914,0.0000101944,0.0031928722,0.0000000000
0.0350958648,97.7500000000,0.0010000000,0.9999333471,0.0005530603,0.0000036558,0.0019120197,0.0000000000
0.0092432325,98.5833333333,0.0010000000,0.9999824456,0.0001881489,0.0000009628,0.0009812424,0.0000000000
0.3030747516,96.9166666667,0.0010000000,0.9994244102,0.0017810730,0.0000315703,0.0056187442,0.0000000000
0.0685076101,97.7500000000,0.0010000000,0.9998698926,0.0007766005,0.0000071362,0.0026713684,0.0000000000
0.3071153051,96.5000000000,0.0010000000,0.9994167366,0.0017587586,0.0000319912,0.0056560744,0.0000000000
0.0965679934,97.6666666667,0.0010000000,0.9998166012,0.0009049129,0.0000100592,0.0031716188,0.0000000000
0.0756292297,97.7500000000,0.0010000000,0.9998563674,0.0008197761,0.0000078780,0.0028067855,0.0000000000
0.0492338323,98.3333333333,0.0010000000,0.9999064967,0.0006325827,0.0000051285,0.0022646245,0.0000000000
0.0290337076,98.5833333333,0.0010000000,0.9999448601,0.0004578150,0.0000030243,0.0017390643,0.0000000000
0.0506100955,98.0833333333,0.0010000000,0.9999038829,0.0006912098,0.0000052719,0.0022960586,0.0000000000
0.0116529041,98.9166666667,0.0010000000,0.9999778692,0.0002440909,0.0000012138,0.0011017460,0.0000000000
0.0856318990,97.7500000000,0.0010000000,0.9998373707,0.0009282852,0.0000089200,0.0029866351,0.0000000000
0.0721080751,98.2500000000,0.0010000000,0.9998630547,0.0007090058,0.0000075113,0.0027406674,0.0000000000
0.0068878809,99.2500000000,0.0010000000,0.9999869188,0.0000624845,0.0000007175,0.0008470464,0.0000000000
0.0068347853,99.2500000000,0.0010000000,0.9999870196,0.0000514642,0.0000007120,0.0008437753,0.0000000000
0.0118246817,98.3333333333,0.0010000000,0.9999775429,0.0002695800,0.0000012317,0.0011098368,0.0000000000
0.0088955975,98.5000000000,0.0010000000,0.9999831058,0.0001754881,0.0000009266,0.0009626135,0.0000000000
0.0183890286,98.7500000000,0.0010000000,0.9999650762,0.0003573117,0.0000019155,0.0013840245,0.0000000000
