# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
0.0275844556,98.3333333333,0.0010000000,0.9999476125,0.0004182465,0.0000028734,0.0016951050,0.0000000000
0.0094020751,99.0833333333,0.0010000000,0.9999821439,0.0001327824,0.0000009794,0.0009896377,0.0000000000
0.0089393421,99.0833333333,0.0010000000,0.9999830227,0.0001053455,0.0000009312,0.0009649774,0.0000000000
0.0087843510,99.0833333333,0.0010000000,0.9999833170,0.0000954237,0.0000009150,0.0009565754,0.0000000000
0.0086956528,99.0833333333,0.0010000000,0.9999834855,0.0000897017,0.0000009058,0.0009517338,0.0000000000
0.0086350568,99.0833333333,0.0010000000,0.9999836006,0.0000852187,0.0000008995,0.0009484119,0.0000000000
0.0088557869,99.0000000000,0.0010000000,0.9999831814,0.0001098986,0.0000009225,0.0009604571,0.0000000000
0.0088127395,98.9166666667,0.0010000000,0.9999832631,0.0001169448,0.0000009180,0.0009581199,0.0000000000
0.0094318029,98.8333333333,0.0010000000,0.9999820874,0.0001580263,0.0000009825,0.0009912010,0.0000000000
0.0103767836,98.6666666667,0.0010000000,0.9999802927,0.0002001595,0.0000010809,0.0010396706,0.0000000000
0.0087938221,99.0000000000,0.0010000000,0.9999832991,0.0000957292,0.0000009160,0.0009570910,0.0000000000
0.0651742355,97.6666666667,0.0010000000,0.9998762232,0.0008348966,0.0000067890,0.0026055677,0.0000000000
0.0087912171,99.0000000000,0.0010000000,0.9999833040,0.0000989853,0.0000009158,0.0009569492,0.0000000000
0.0086749808,99.0000000000,0.0010000000,0.9999835248,0.0000764163,0.0000009036,0.0009506018,0.0000000000
0.0087595126,99.0000000000,0.0010000000,0.9999833642,0.0000939737,0.0000009124,0.0009552221,0.0000000000
2.6720379306,91.0833333333,0.0010000000,0.9949253521,0.0047508338,0.0002783373,0.0166834434,0.0000000000
0.0098870279,99.0000000000,0.0010000000,0.9999812229,0.0001580506,0.0000010299,0.0010148393,0.0000000000
0.0089269043,99.0000000000,0.0010000000,0.9999830463,0.0001062774,0.0000009299,0.0009643059,0.0000000000
0.0087608255,99.0000000000,0.0010000000,0.9999833617,0.0000906161,0.0000009126,0.0009552937,0.0000000000
0.0087065213,99.0000000000,0.0010000000,0.9999834649,0.0000827360,0.0000009069,0.0009523284,0.0000000000
0.0086810837,99.0000000000,0.0010000000,0.9999835132,0.0000784337,0.0000009043,0.0009509361,0.0000000000
0.0086657451,99.0000000000,0.0010000000,0.9999835423,0.0000757425,0.0000009027,0.0009500957,0.0000000000
0.0099553506,98.9166666667,0.0010000000,0.9999810931,0.0001704885,0.0000010370,0.0010183397,0.0000000000
0.0086738876,99.0000000000,0.0010000000,0.9999835268,0.0000779790,0.0000009035,0.0009505419,0.0000000000
0.0086561264,99.0000000000,0.0010000000,0.9999835606,0.0000748438,0.0000009017,0.0009495682,0.0000000000
0.0086462225,99.0000000000,0.0010000000,0.9999835794,0.0000728477,0.0000009006,0.0009490249,0.0000000000
0.0579502003,98.0833333333,0.0010000000,0.9998899429,0.0007082103,0.0000060365,0.0024569247,0.0000000000
0.0086408462,99.0000000000,0.0010000000,0.9999835896,0.0000746895,0.0000009001,0.0009487298,0.0000000000
0.0094448170,99.0000000000,0.0010000000,0.9999820627,0.0001445942,0.0000009838,0.0009918846,0.0000000000
0.0086348223,99.0000000000,0.0010000000,0.9999836010,0.0000725626,0.0000008995,0.0009483990,0.0000000000
0.0397204062,97.6666666667,0.0010000000,0.9999245643,0.0006423487,0.0000041375,0.0020340950,0.0000000000
0.0086329684,99.0000000000,0.0010000000,0.9999836045,0.0000728558,0.0000008993,0.0009482972,0.0000000000
0.0098437851,98.7500000000,0.0010000000,0.9999813050,0.0001705767,0.0000010254,0.0010126175,0.0000000000
0.3481421603,96.3333333333,0.0010000000,0.9993388197,0.0017212994,0.0000362648,0.0060220269,0.0000000000
0.0089034009,99.0000000000,0.0010000000,0.9999830909,0.0001083539,0.0000009274,0.0009630356,0.0000000000
0.0086734008,99.0000000000,0.0010000000,0.9999835278,0.0000803677,0.0000009035,0.0009505153,0.0000000000
0.0086458445,99.0000000000,0.0010000000,0.9999835801,0.0000753055,0.0000009006,0.0009490041,0.0000000000
0.0148034328,98.3333333333,0.0010000000,0.9999718858,0.0002950007,0.0000015420,0.0012417827,0.0000000000
